resource	small	medium	Jan2017	jobs1k	jobs10k	jobs50k	jobs100k	jobs200k	e2e
organizations	50	500	1	1	1	1	1	1	110
users	500	5000	3	3	3	3	3	3	110
teams	200	500	2	2	2	2	2	2	100
projects	150	1000	30	30	30	30	30	30	110
job_templates	300	2000	127	127	127	127	127	127	110
credentials	150	2000	50	50	50	50	50	50	110
inventories	150	2000	6	6	6	6	6	6	110
inventory_groups	700	500	15	15	15	15	15	15	110
inventory_hosts	1100	2500	15	15	15	15	15	15	110
wfjts	50	100	0	0	0	0	0	0	0
nodes	1000	1000	0	0	0	0	0	0	0
labels	1000	1000	0	0	0	0	0	0	0
jobs	2000	5000	157208	1000	10000	50000	100000	200000	1000
job_events	40000	100000	3370942	20000	200000	1000000	2000000	4000000	20000
